รหัสจังหวัด,จังหวัด,เขต,party_listผู้มีสิทธิ์,party_listมาใช้สิทธิ์,party_listคะแนนดี,party_listคะแนนเสีย,party_listไม่โหวต,party_listballots_received,party_listballots_used,แบ่งเขต_ผู้ชนะ,แบ่งเขต_พรรค,consti_eligible_voters,consti_voters_came,consti_ballots_received,consti_ballots_used,consti_good_votes,consti_invalid_votes,consti_no_votes,2diff_came,2pct_diff/ผู้มีสิทเขต,3party_list_pct_มาใช้สิท,3แบ่งเขต_pct_มาใช้สิท,5partylist_บัตรผี,5consti_บัตรผี
10,กรุงเทพมหานคร,1,130445,82421,78517,1726,2178,130018,82421,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,130445,82421,130018,82421,77075,1146,4200,0,0,66.09862644,63.18448388,0,0
10,กรุงเทพมหานคร,2,136434,90181,86220,1516,2445,136305,90181,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,136434,90181,136305,90181,83874,1384,4923,0,0,67.19178306,66.09862644,0,0
10,กรุงเทพมหานคร,3,122576,82361,78875,1453,2033,125326,82361,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,122576,82361,125326,82361,76775,1425,4161,0,0,64.05102584,67.19178306,0,0
10,กรุงเทพมหานคร,4,129503,82948,79302,1703,1943,127040,82948,นายภัณฑิล น่วมเจิม,ประชาชน,129503,82948,127040,82947,77982,1472,3493,0,0,72.06809819,64.05102584,0,1
10,กรุงเทพมหานคร,5,133983,96559,92886,1462,2211,130040,96561,นายปิติกรณ์ บรรณเภสัช,ประชาชน,133983,96561,130040,96561,90792,1289,4480,2,0.001492727,70.49499969,72.06959092,0,0
10,กรุงเทพมหานคร,6,143091,100872,96499,1835,2538,141800,100872,นายกัณตภณ ดวงอัมพร,ประชาชน,143091,100871,141800,100871,94391,1412,5068,1,0.000698856,64.81420493,70.49430083,0,0
10,กรุงเทพมหานคร,7,142711,92497,88053,1672,2772,140393,92497,นางสาวภัสริน รามวงศ์,ประชาชน,142711,92497,140393,92497,85181,1649,5667,0,0,72.6552464,64.81420493,0,0
10,กรุงเทพมหานคร,8,144013,104633,100236,1639,2758,145330,104633,นายชยพล สท้อนดี,ประชาชน,144013,104633,145330,104633,96755,1622,6256,0,0,71.23587869,72.6552464,0,0
10,กรุงเทพมหานคร,9,144197,102720,98361,1557,2802,139760,102720,นายศุภณัฐ มีนชัยนันท์,ประชาชน,144197,102720,139760,102720,95111,1599,6010,0,0,72.22568488,71.23587869,0,0
10,กรุงเทพมหานคร,10,137980,99657,94890,1779,2987,137000,99657,นายเอกราช อุดมอำนวย,ประชาชน,137980,99657,137000,99657,91913,1521,6223,0,0,73.09039536,72.22568488,1,0
10,กรุงเทพมหานคร,11,137319,100367,96112,1769,2486,139579,100367,นางสาวศศินันท์ ธรรมนิฐินันท์,ประชาชน,137319,100367,139579,100367,94993,1207,4167,0,0,77.58406239,73.09039536,0,0
10,กรุงเทพมหานคร,12,143108,111029,106754,1499,2776,144819,111029,นายภูริวรรธก์ ใจสำราญ,ประชาชน,143108,111029,144819,111029,103439,1601,5989,0,0,73.72062643,77.58406239,0,0
10,กรุงเทพมหานคร,13,131666,97065,93463,1380,2222,128131,97065,เรืออากาศโท ธนเดช เพ็งสุข,ประชาชน,131666,97065,128131,97065,90508,1315,5242,0,0,70.75329083,73.72062643,0,0
10,กรุงเทพมหานคร,14,140238,99223,95365,1537,2321,141548,99223,นายก่อเกียรติ ก่อสูงศักดิ์,ประชาชน,140238,99223,141547,99223,93467,1431,4325,0,0,72.10585638,70.75329083,0,0
10,กรุงเทพมหานคร,15,127758,92121,88172,1581,2368,,,นายวิทวัส ติชะวาณิชย์,ประชาชน,127758,92122,,,85901,1329,4892,1,0.00078273,73.0142825,72.10663911,0,0
10,กรุงเทพมหานคร,16,137721,100556,96550,1437,2569,139505,100556,นางสาวพิมพ์กาญจน์ กีรติวิราปกรณ์,ประชาชน,137721,100557,139506,100557,94218,1438,4901,1,0.000726106,65.52669959,73.0150086,0,0
10,กรุงเทพมหานคร,17,120676,79075,73773,2180,3122,118860,79075,นายวีรวุธ รักเที่ยง,ประชาชน,120676,79075,118860,79075,71720,1965,5390,0,0,70.8812011,65.52669959,0,0
10,กรุงเทพมหานคร,18,122821,87057,82064,2230,2763,122180,87057,นายธีรัจชัย พันธุมาศ,ประชาชน,122821,87055,122180,87055,80204,1421,5430,2,0.001628386,73.00584519,70.87957271,0,0
10,กรุงเทพมหานคร,19,135496,98920,95000,1570,2350,132217,98920,นายกันต์พงษ์ ประยูรศักดิ์,ประชาชน,135568,98920,132217,98920,92191,1634,5095,0,0,69.17529849,72.96707188,0,0
10,กรุงเทพมหานคร,20,126470,87486,83120,1904,2462,126020,87486,นายชุมพล หลักคำ,ประชาชน,126470,87486,126020,87486,81935,1769,3782,0,0,70.91866246,69.17529849,0,0
10,กรุงเทพมหานคร,21,136579,96860,92788,1517,2554,135500,96860,นายณัฐพงศ์ เปรมพูลสวัสดิ์,ประชาชน,136579,96860,135500,96860,91346,1450,4063,0,0,69.08136994,70.91866246,1,1
10,กรุงเทพมหานคร,22,133612,92301,88283,1503,2515,137131,92301,นายสุภกร ตันติไพบูลย์ธนะ,ประชาชน,133612,92301,137131,92301,85558,1511,5232,0,0,69.73549968,69.08136994,0,0
10,กรุงเทพมหานคร,23,144083,100477,96512,1321,2644,148585,100477,นายชลธาร ทรัพย์ไพบูลย์เลิศ,ประชาชน,144083,100477,148585,100477,94233,1073,5171,0,0,68.18175423,69.73549968,0,0
10,กรุงเทพมหานคร,24,142148,96919,92221,1814,2884,145797,96919,นายณพัฏน์ จิตตภินันท์กัณตา,ประชาชน,142148,96919,145857,96919,89356,1902,5661,0,0,70.71434203,68.18175423,0,0
10,กรุงเทพมหานคร,25,126830,89687,85329,1910,2448,128983,89687,นางสาวแอนศิริ วลัยกนก,ประชาชน,126830,89687,128983,89687,84112,1443,4132,0,0,69.65374299,70.71434203,0,0
10,กรุงเทพมหานคร,26,139434,97121,92428,2079,2614,143700,97121,นาย พงษ์สรณัฐ ทองลี,ประชาชน,139434,97121,143700,97121,90037,1820,5264,0,0,71.60569121,69.65374299,0,0
10,กรุงเทพมหานคร,27,134453,96276,91873,1780,2623,133246,96276,นายนฤพล เลิศปัญญาโรจน์,ประชาชน,134453,96276,133257,96276,90381,1564,4331,0,0,71.18157887,71.60569121,0,0
10,กรุงเทพมหานคร,28,139796,99509,94612,1949,2948,138533,99509,นางสาวชลณัฏฐ์ โกยกุล,ประชาชน,139454,99509,138530,99509,91560,2003,5946,0,0,71.98665042,71.35614611,0,0
10,กรุงเทพมหานคร,29,144424,103966,98610,2373,2983,145840,103966,นางสาวทิสรัตน์ เลาหพล,ประชาชน,144424,103966,145840,103966,96248,1896,5822,0,0,69.11299242,71.98665042,0,0
10,กรุงเทพมหานคร,30,143753,99352,94745,1900,2707,141200,99352,นายธัญธร ธนินวัฒนาธร,ประชาชน,143753,99352,141200,99352,92533,1464,5355,0,0,74.74573913,69.11299242,0,0
10,กรุงเทพมหานคร,31,143750,107447,101855,2072,3520,136940,103227,นายอนุสรณ์ ธรรมใจ,ประชาชน,143750,107447,136940,103227,98491,1993,6963,0,0,67.54820659,74.74573913,0,0
10,กรุงเทพมหานคร,32,139037,93917,88915,2107,2895,140719,93917,นางสาวปวิตรา จิตตกิจ,ประชาชน,142608,93917,140719,93917,85631,2233,6053,0,0,69.26648849,65.85675418,0,0
10,กรุงเทพมหานคร,33,148164,102628,97764,1892,2972,146580,102628,นายเท่าพิภพ ลิ้มจิตรกร,ประชาชน,148164,102628,146580,102628,94416,2142,6070,0,0,74.24398822,69.26648849,0,0
11,สมุทรปราการ,1,130785,97100,90939,3047,3114,131557,97100,นางสาวพนิดา มงคลสวัสดิ์,ประชาชน,130785,97099,131745,97099,87879,4260,4960,1,0.000764614,74.61094543,74.24322361,0,0
11,สมุทรปราการ,2,129095,96319,89972,3075,3272,132164,96319,นางสาวรัชนก สุขประเสริฐ,ประชาชน,129095,96319,132124,96319,89135,2529,4655,0,0,68.3487604,74.61094543,0,0
11,สมุทรปราการ,3,141094,96436,90899,2252,3285,142959,96436,นายพิชัย แจ้งจรรยาวงศ์,ประชาชน,141094,96436,142958,96436,88488,2383,5565,0,0,73.87908783,68.3487604,0,0
11,สมุทรปราการ,4,135983,100463,95537,1705,3221,137435,100463,นายชนสิษฎ์ ยอดฉิม,ประชาชน,135983,100463,137435,100463,92620,1776,6067,0,0,70.26630957,73.87908783,0,0
11,สมุทรปราการ,5,158312,111240,104952,2210,4078,156400,111240,นางสาวนิตยา มีศรี,ประชาชน,158312,111240,156400,111240,100245,2869,8126,0,0,70.50311562,70.26630957,0,0
11,สมุทรปราการ,6,129990,91647,85109,3421,3117,132220,91647,นายฐาปกรณ์ กุลเจริญ,ภูมิใจไทย,129990,91647,132220,91647,84514,2714,4419,0,0,70.61912215,70.50311562,0,0
11,สมุทรปราการ,7,149502,105577,98264,3291,4022,149840,105577,นายบุญเลิศ แสงพันธุ์,ประชาชน,149502,105577,149840,105577,97691,2752,5134,0,0,74.37465924,70.61912215,0,0
11,สมุทรปราการ,8,150398,111858,104242,4044,3572,153600,111858,นายเทพฤทธิ์ ภาษี,ประชาชน,150398,111859,153600,111859,103041,3435,5383,1,0.000664902,75.05119883,74.37532414,0,0
12,นนทบุรี,1,135257,101512,96610,1903,2999,140385,101512,นายวุฒากร นุตยกุล,ประชาชน,135257,101511,140384,101511,93883,1731,5897,1,0.000739333,71.17015808,75.0504595,0,0
12,นนทบุรี,2,124496,88604,83688,1809,3107,126738,88604,นางปัญญารัตน์ นันทภูษิตานนท์,ประชาชน,124496,88604,126738,88604,81123,1807,5674,0,0,75.74661275,71.17015808,0,0
12,นนทบุรี,3,140970,106780,100706,2231,3843,143619,106780,นายอนุสรณ์ แก้ววิเชียร,ประชาชน,140970,106780,143619,106780,96521,2416,7843,0,0,72.76381594,75.74661275,0,0
12,นนทบุรี,4,127371,92680,88001,1706,2973,131603,92680,นายกรณ์ มีดี,ประชาชน,127371,92680,131603,92680,85203,2198,5279,0,0,75.89491016,72.76381594,0,0
12,นนทบุรี,5,137863,104631,98812,2432,3387,135403,104631,นายปรีติ เจริญศิลป์,ประชาชน,137863,104631,135403,104631,96107,2233,6291,0,0,76.38013385,75.89491016,0,0
12,นนทบุรี,6,144044,110021,103361,2576,4084,147586,110021,นายสุทัศน์ มีศิริ,ประชาชน,144044,110023,147588,110023,99026,3607,7390,2,0.001388465,72.58847583,76.38152231,0,0
12,นนทบุรี,7,142327,103313,96807,2544,3962,145606,103313,นายเกียรติคุณ ต้นยาง,ประชาชน,142327,103313,145606,103313,93993,2687,6633,0,0,79.57339446,72.58847583,0,0
12,นนทบุรี,8,121283,96509,90783,2555,3171,131778,96509,นายนนท์ ไพศาลลิ้มเจริญกิจ,ประชาชน,121283,96509,131778,96509,88860,2063,5586,0,0,78.52492254,79.57339446,0,0
13,ปทุมธานี,1,130705,102636,95730,3358,3548,131500,102636,นายเจษฎา ดนตรีเสนาะ,ประชาชน,130705,102636,131500,102636,95201,2882,4553,0,0,79.75672384,78.52492254,0,0
13,ปทุมธานี,2,128907,102812,96562,3225,3025,143800,102812,นายศุภชัย นพขำ,เพื่อไทย,128907,102812,143800,102812,97032,2027,3753,0,0,71.21198318,79.75672384,0,0
13,ปทุมธานี,3,131718,93799,88780,1840,3179,130050,93799,นายเอกศักดิ์ หอมชื่น,ประชาชน,131718,93799,130050,93799,84153,2942,6704,0,0,74.89794836,71.21198318,0,0
13,ปทุมธานี,4,132041,98896,93513,2473,2910,166091,98896,นายสกล สุนทรวาณิชย์กิจ,ประชาชน,132041,98894,166091,98894,90836,2539,5519,2,0.001514681,73.03577685,74.89643368,0,0
