รหัสจังหวัด,province_clean,เขต,หมายเลข_clean,party_name_clean,คะแนน,First_digit
10,กรุงเทพมหานคร,1,1,ไทยทรัพย์ทวี,66,6
10,กรุงเทพมหานคร,1,2,เพื่อชาติไทย,130,1
10,กรุงเทพมหานคร,1,3,ใหม่,37,3
10,กรุงเทพมหานคร,1,4,มิติใหม่,35,3
10,กรุงเทพมหานคร,1,5,รวมใจไทย,226,2
10,กรุงเทพมหานคร,1,6,รวมไทยสร้างชาติ,1857,1
10,กรุงเทพมหานคร,1,7,พลวัต,103,1
10,กรุงเทพมหานคร,1,8,ประชาธิปไตยใหม่,323,3
10,กรุงเทพมหานคร,1,9,เพื่อไทย,6398,6
10,กรุงเทพมหานคร,1,10,ทางเลือกใหม่,300,3
10,กรุงเทพมหานคร,1,11,เศรษฐกิจ,1292,1
10,กรุงเทพมหานคร,1,12,เสรีรวมไทย,374,3
10,กรุงเทพมหานคร,1,13,รวมพลังประชาชน,160,1
10,กรุงเทพมหานคร,1,14,ท้องที่ไทย,7,7
10,กรุงเทพมหานคร,1,15,อนาคตไทย,29,2
10,กรุงเทพมหานคร,1,16,พลังเพื่อไทย,47,4
10,กรุงเทพมหานคร,1,17,ไทยชนะ,47,4
10,กรุงเทพมหานคร,1,18,พลังสังคมใหม่,10,1
10,กรุงเทพมหานคร,1,19,สังคมประชาธิปไตยไทย,8,8
10,กรุงเทพมหานคร,1,20,ฟิวชัน,17,1
10,กรุงเทพมหานคร,1,21,ไทยรวมพลัง,22,2
10,กรุงเทพมหานคร,1,22,ก้าวอิสระ,8,8
10,กรุงเทพมหานคร,1,23,ปวงชนไทย,43,4
10,กรุงเทพมหานคร,1,24,วินัยไทย,14,1
10,กรุงเทพมหานคร,1,25,เพื่อชีวิตใหม่,7,7
10,กรุงเทพมหานคร,1,26,คลองไทย,39,3
10,กรุงเทพมหานคร,1,27,ประชาธิปัตย์,11795,1
10,กรุงเทพมหานคร,1,28,ไทยก้าวหน้า,45,4
10,กรุงเทพมหานคร,1,29,ไทยภักดี,2173,2
