code,name_th,name_en,acronym_th,acronym_en
10,กรุงเทพมหานคร,BANGKOK,กทม,BKK
11,สมุทรปราการ,SAMUT PRAKAN,สป,SPK
12,นนทบุรี,NONTHABURI,นบ,NBI
13,ปทุมธานี,PATHUM THANI,ปท,PTE
14,พระนครศรีอยุธยา,PHRANAKHON SI AYUTTAYA,อย,AYA
15,อ่างทอง,ANG THONG,อท,ATG
16,ลพบุรี,LOP BURI,ลบ,LRI
17,สิงห์บุรี,SING BURI,สห,SBR
18,ชัยนาท,CHAI NAT,ชน,CNT
19,สระบุรี,SARA BURI,สบ,SRI
20,ชลบุรี,CHON BURI,ชบ,CBI
21,ระยอง,RAYONG,รย,RYG
22,จันทบุรี,CHANTHABURI,จบ,CTI
23,ตราด,TRAT,ตร,TRT
24,ฉะเชิงเทรา,CHA CHOENG SAO,ฉช,CCO
25,ปราจีนบุรี,PRACHIN BURI,ปจ,PRI
26,นครนายก,NAKHON NAYOK,นย,NYK
27,สระแก้ว,SA KAEW,สก,SKW
30,นครราชสีมา,NAKHON RATCHASIMA,นม,NMA
31,บุรีรัมย์,BURI RAM,บร,BRM
32,สุรินทร์,SURIN,สร,SRN
33,ศรีสะเกษ,SISAKET,ศก,SSK
34,อุบลราชธานี,UBON RATCHATHANI,อบ,UBN
35,ยโสธร,YASOTHON,ยส,YST
36,ชัยภูมิ,CHAIYAPHUM,ชย,CPM
37,อำนาจเจริญ,UMNAD CHAREUN,อจ,ACR
38,บึงกาฬ,BUNGKAN,บก,BKN
39,หนองบัวลำภู,NONGBUA LUMPHOO,นภ,NBP
40,ขอนแก่น,KHON KAEN,ขก,KKN
41,อุดรธานี,UDON THANI,อด,UDN
42,เลย,LOEI,ลย,LEI
43,หนองคาย,NONG KHAI,นค,NKI
44,มหาสารคาม,MAHA SARAKHAM,มค,MKM
45,ร้อยเอ็ด,ROI ET,รอ,RET
46,กาฬสินธุ์,KALASIN,กส,KSN
47,สกลนคร,SAKON NAKHON,สน,SNK
48,นครพนม,NAKHON PHANOM,นพ,NPM
49,มุกดาหาร,MUKDAHAN,มห,MDH
50,เชียงใหม่,CHAIANG MAI,ชม,CMI
51,ลำพูน,LAMPHUN,ลพ,LPN
52,ลำปาง,LAMPANG,ลป,LPG
53,อุตรดิตถ์,UTTARADIT,อต,UTT
54,แพร่,PHRAE,พร,PRE
55,น่าน,NAN,นน,NAN
56,พะเยา,PHAYAO,พย,PYO
57,เชียงราย,CHIANG RAI,ชร,CRI
58,แม่ฮ่องสอน,MAE HONG SON,มส,MSN
60,นครสวรรค์,NAKHON SAWAN,นว,NSN
61,อุทัยธานี,UTHAI TANI,อน,UTI
62,กำแพงเพชร,KAMPHAENG PHET,กพ,KPT
63,ตาก,TAK,ตก,TAK
64,สุโขทัย,SUKHOTHAI,สท,STI
65,พิษณุโลก,PHITSANULOK,พล,PLK
66,พิจิตร,PHICHIT,พจ,PCT
67,เพชรบูรณ์,PHETCHABUN,พช,PNB
70,ราชบุรี,RATCHABURI,รบ,RBR
71,กาญจนบุรี,KANCHNABURI,กจ,KRI
72,สุพรรณบุรี,SUPHAN BURI,สพ,SPB
73,นครปฐม,NAKHON PATHOM,นฐ,NPT
74,สมุทรสาคร,SAMUT SAKHON,สค,SKN
75,สมุทรสงคราม,SAMUT SONGKHRAM,สส,SKM
76,เพชรบุรี,PHETCHABURI,พบ,PBI
77,ประจวบคีรีขันธ์,PHACHUAP KHIRI KHAN,ปข,PKN
80,นครศรีธรรมราช,NAKHON SI THAMMARAT,นศ,NRT
81,กระบี่,KRABI,กบ,KBI
82,พังงา,PHANG NGA,พง,PNA
83,ภูเก็ต,PHUKET,ภก,PKT
84,สุราษฎร์ธานี,SURAT THANI,สฎ,SNI
85,ระนอง,RANONG,รน,RNG
86,ชุมพร,CHUMPHON,ชพ,CPN
90,สงขลา,SONG KHLA,สข,SKA
91,สตูล,SATUN,สต,STN
92,ตรัง,TRANG,ตง,TRG
93,พัทลุง,PHATTHALUNG,พท,PLG
94,ปัตตานี,PATTANI,ปน,PTN
95,ยะลา,YALA,ยล,YLA
96,นราธิวาส,NARATHIWAT,นธ,NWT
