province_code,region_key,region_label
10,bangkok,กรุงเทพมหานคร
11,central,ภาคกลาง
12,central,ภาคกลาง
13,central,ภาคกลาง
14,central,ภาคกลาง
15,central,ภาคกลาง
16,central,ภาคกลาง
17,central,ภาคกลาง
18,central,ภาคกลาง
19,central,ภาคกลาง
20,east,ภาคตะวันออก
21,east,ภาคตะวันออก
22,east,ภาคตะวันออก
23,east,ภาคตะวันออก
24,east,ภาคตะวันออก
25,east,ภาคตะวันออก
26,east,ภาคตะวันออก
27,east,ภาคตะวันออก
30,northeast,ภาคตะวันออกเฉียงเหนือ
31,northeast,ภาคตะวันออกเฉียงเหนือ
32,northeast,ภาคตะวันออกเฉียงเหนือ
33,northeast,ภาคตะวันออกเฉียงเหนือ
34,northeast,ภาคตะวันออกเฉียงเหนือ
35,northeast,ภาคตะวันออกเฉียงเหนือ
36,northeast,ภาคตะวันออกเฉียงเหนือ
37,northeast,ภาคตะวันออกเฉียงเหนือ
38,northeast,ภาคตะวันออกเฉียงเหนือ
39,northeast,ภาคตะวันออกเฉียงเหนือ
40,northeast,ภาคตะวันออกเฉียงเหนือ
41,northeast,ภาคตะวันออกเฉียงเหนือ
42,northeast,ภาคตะวันออกเฉียงเหนือ
43,northeast,ภาคตะวันออกเฉียงเหนือ
44,northeast,ภาคตะวันออกเฉียงเหนือ
45,northeast,ภาคตะวันออกเฉียงเหนือ
46,northeast,ภาคตะวันออกเฉียงเหนือ
47,northeast,ภาคตะวันออกเฉียงเหนือ
48,northeast,ภาคตะวันออกเฉียงเหนือ
49,northeast,ภาคตะวันออกเฉียงเหนือ
50,north,ภาคเหนือ
51,north,ภาคเหนือ
52,north,ภาคเหนือ
53,north,ภาคเหนือ
54,north,ภาคเหนือ
55,north,ภาคเหนือ
56,north,ภาคเหนือ
57,north,ภาคเหนือ
58,north,ภาคเหนือ
60,central,ภาคกลาง
61,central,ภาคกลาง
62,central,ภาคกลาง
63,west,ภาคตะวันตก
64,central,ภาคกลาง
65,central,ภาคกลาง
66,central,ภาคกลาง
67,central,ภาคกลาง
70,west,ภาคตะวันตก
71,west,ภาคตะวันตก
72,central,ภาคกลาง
73,central,ภาคกลาง
74,central,ภาคกลาง
75,central,ภาคกลาง
76,west,ภาคตะวันตก
77,west,ภาคตะวันตก
80,south,ภาคใต้
81,south,ภาคใต้
82,south,ภาคใต้
83,south,ภาคใต้
84,south,ภาคใต้
85,south,ภาคใต้
86,south,ภาคใต้
90,south,ภาคใต้
91,south,ภาคใต้
92,south,ภาคใต้
93,south,ภาคใต้
94,south,ภาคใต้
95,south,ภาคใต้
96,south,ภาคใต้
